"","sheet","chain","co_owned","state","southj","centralj","northj","pa1","pa2","shore","ncalls","empft","emppt","nmgrs","wage_st","inctime","firstinc","bonus","pctaff","meals","open","hrsopen","psoda","pfry","pentree","nregs","nregs11","type2","status2","date2","ncalls2","empft2","emppt2","nmgrs2","wage_st2","inctime2","firstin2","special2","meals2","open2r","hrsopen2","psoda2","pfry2","pentree2","nregs2","nregs112"
"41","60",4,0,0,0,0,0,1,0,0,0,10,20,5,4.25,4,0.1,0,75,1,10.5,11.5,0.94,0.74,0.86,2,2,1,1,111792,2,10,20,5,4.25,4,0.25,0,1,10,12,0.98,0.84,0.86,2,2
"42","407",2,1,0,0,0,0,0,1,0,0,2,12,3,4.75,52,0.12,0,90,3,11,10,0.95,0.74,2.33,4,3,1,1,111492,NA,1,14,3,4.25,4,0.3,0,1,11,11,0.95,0.84,2.53,4,3
"43","430",1,0,0,0,0,0,1,0,0,0,20,25,4,4.25,13,0.15,0,44,2,7,15,0.95,0.75,0.8,3,3,1,1,110792,NA,0,48,3,4.25,26,0.13,0,2,7,16,0.91,0.73,0.75,3,3
"44","432",1,0,0,0,0,0,1,0,0,0,20,55,5,4.5,17,0.15,0,75,2,7,16,0.94,0.74,0.79,4,3,1,1,110792,1,25,10,4,5.05,26,0.2,0,2,7,16,0.94,0.74,0.79,3,1
"45","433",1,0,0,0,0,0,1,0,0,0,10,30,4,4.25,13,0.15,0,75,2,7,16,0.95,0.73,0.8,3,3,2,1,123092,6,0,42,4,NA,NA,NA,0,2,7,16,0.94,0.74,0.74,3,3
"46","434",1,0,0,0,0,0,1,0,0,2,15,50,5,4.25,6,0.25,0,77,2,7,16,0.95,0.75,NA,3,3,1,1,111692,NA,19,29,4,4.25,NA,NA,0,2,7,16,0.95,0.8,0.8,3,3
"47","435",1,0,0,0,0,0,1,0,0,1,1,37.5,3,4.25,4,0.17,1,25,2,6.5,15.5,0.95,0.75,0.79,3,3,1,1,110792,NA,0,32,5,4.25,6,0.15,1,2,6.5,15.5,0.94,0.74,0.79,3,2
"48","438",2,0,0,0,0,0,1,0,0,2,0,9,3,4.25,52,0.07,0,11,2,11,8,1.01,0.84,2.43,2,1,1,1,111292,NA,2,9,3,4.25,52,0.05,0,2,11,9,0.95,0.84,2.43,2,1
"49","440",4,0,0,0,0,0,1,0,0,2,0,25,3,4.25,19,0.15,0,100,2,10.5,11.5,0.89,0.79,2.01,2,2,1,1,111392,NA,0,30,3,NA,NA,NA,0,2,10.5,11.5,1,0.8,1.8,2,2
"50","441",4,0,0,0,0,0,1,0,0,2,30,10,3,4.25,4,0.25,1,100,2,10.5,11.5,0.89,0.77,0.84,2,2,1,1,111392,NA,0,30,3,4.25,4,0.25,0,2,10.5,11.5,1,0.8,1.81,2,2
"51","443",4,0,0,0,0,0,1,0,0,0,4,19,4,4.25,4,0.25,0,95,2,10.5,11.5,0.89,0.79,1.8,2,2,1,1,111392,NA,5,20,4,4.35,17,0.18,0,2,10.5,11.5,1,0.8,1.81,2,2
"52","444",4,0,0,0,0,0,1,0,0,2,12,20,3,4.25,19,0.37,0,NA,2,10.5,12.5,0.89,0.8,0.84,2,2,1,1,111392,NA,10,35,4,4.5,4,0.3,0,2,10.5,11.5,0.89,NA,0.79,2,2
"53","446",1,0,0,0,0,0,0,1,0,2,NA,NA,3,4.5,4,0.25,0,50,2,6,18,1.03,0.84,0.94,NA,NA,1,1,110792,NA,7,24,4,5,4,0.25,1,2,6,18,0.97,0.84,0.91,4,3
"54","448",1,0,0,0,0,0,0,1,0,0,8,18,4,4.75,4,0.25,1,78,2,6,18,0.97,0.84,0.91,3,3,1,1,111892,1,8,27,3,4.5,13,0.25,0,2,6,18,0.96,0.83,0.87,3,3
"55","449",1,0,0,0,0,0,0,1,0,2,0,25,3,4.87,3.5,NA,0,3,2,6,18,NA,NA,NA,4,4,1,1,110792,NA,15,15,5,5,52,0.25,0,2,6,18,0.97,0.84,0.73,3,3
"56","450",1,0,0,0,0,0,0,1,0,0,2,21,3,4.75,13,0.15,0,50,2,6.5,16.5,0.97,0.82,0.84,3,3,1,1,111892,2,27.5,8,3,4.75,13,0.25,1,2,6,18,0.91,0.84,0.86,3,3
"57","454",2,1,0,0,0,0,0,1,0,0,1,9,3,4.5,4,0.15,0,NA,2,11,10,0.94,0.73,2.53,4,3,1,1,111292,NA,0,18,5,5,13,0.25,0,1,11,11,0.94,0.73,2.64,4,3
"58","459",3,1,0,0,0,0,0,1,0,0,5,20,3,4.25,13,0.37,0,NA,2,6,16,1.05,0.9,0.94,5,NA,2,1,122292,1,0,20,5,4.35,28,0.15,1,2,7,15,1.01,1.01,0.89,4,2
"59","466",4,0,0,0,0,0,0,1,0,2,8,17.5,4,4.75,17,0.3,1,65,3,10.5,11.5,0.94,0.8,0.94,2,2,1,1,111892,5,14,12,3,NA,52,NA,0,1,10.5,11.5,0.94,NA,NA,2,2
"60","471",1,0,0,0,0,0,0,1,0,2,25,20,4,4.25,26,NA,0,50,2,6,18,0.97,0.84,0.91,2,2,1,1,111692,NA,12,23,3,4.25,26,0.15,0,2,6,18,0.97,0.86,0.91,3,1
"61","472",1,0,0,0,0,0,0,1,0,2,37.5,2,3,4.25,52,NA,0,80,2,6.5,16.5,0.97,1.05,0.91,3,3,1,1,110792,NA,8,25,3,4.9,13,0.18,0,2,6,17,0.96,0.84,0.91,3,3
"62","473",1,0,0,0,0,0,0,1,0,0,5,27,4,4.75,26,0.5,1,50,2,6,17,0.97,0.86,0.89,3,2,1,1,111792,1,26,15,2,4.5,19,0.13,0,2,6,17,0.97,0.84,0.86,3,3
"63","475",1,0,0,0,0,0,0,1,0,1,25,8,3,4.5,NA,NA,0,60,1,7,15,1.02,0.89,0.9,3,3,1,1,110792,NA,10,16,3,4.5,26,0.15,0,1,7,15,1.02,0.94,0.9,3,3
"64","476",1,0,0,0,0,0,1,0,0,2,6,30,3,4.25,52,0.12,0,60,2,6,18,0.95,0.79,0.91,3,3,1,1,111792,1,5,30,3,4.75,52,0.2,0,2,6,18,0.96,0.84,1.18,3,3
"65","477",1,0,0,0,0,0,0,1,0,1,8,28,4,4.25,39,0.12,1,50,2,6.5,16.5,0.97,0.78,0.99,3,3,1,1,110792,NA,6,20,4,6.25,26,0.5,0,2,6,17,0.96,0.84,0.89,3,3
"66","478",1,0,0,0,0,0,1,0,0,0,32,25,4,4.5,13,0.22,0,30,2,6,19,0.97,0.86,0.91,3,3,2,1,122292,1,8,30,4,4.35,13,0.25,0,2,6,18,1.01,0.88,0.91,3,2
"67","485",2,1,0,0,0,0,0,1,0,2,1,9,3,4.5,26,0.37,0,80,2,11,10,0.95,0.74,2.33,4,3,1,1,111292,NA,4,12,3,4.5,19,NA,0,2,11,11,1.01,0.73,2.32,4,3
"68","491",3,0,0,0,0,0,0,1,0,0,4,25,2,4.5,13,0.37,0,100,2,8.5,13,1.05,0.91,0.95,3,2,2,3,123092,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","492",3,1,0,0,0,0,0,1,0,0,2,16,3,4.5,13,0.25,0,75,2,9,12.5,1.11,1.05,0.94,2,1,1,1,111192,NA,4,15,2,4.5,19,0.1,0,2,9,12.5,1.11,1.11,1.05,2,1
"70","497",4,1,0,0,0,0,0,1,0,0,12,15,3,4.5,13,0.15,1,37,2,10,12,0.91,0.84,0.84,2,2,1,1,111392,NA,NA,NA,5,NA,NA,NA,0,2,10,12,1.01,0.9,0.79,2,2
"71","498",4,1,0,0,0,0,0,1,0,2,20,10,3,4.75,26,0.1,1,75,2,10,12,0.91,0.84,0.85,2,2,1,1,111792,2,21,5.5,3,5,26,NA,1,2,10,12,0.98,0.84,0.9,2,2
"72","501",1,0,0,0,0,0,0,1,0,0,14,15,3,4.25,4,0.37,1,63,2,6.5,16.5,0.84,0.84,0.94,3,3,1,1,111792,2,30,15,6,4.75,4,0.35,1,1,6,18,1.03,0.91,0.91,3,3
"73","503",1,0,0,0,0,0,0,1,0,2,7.5,14,4,4.75,NA,0.12,0,100,2,6.5,16.5,0.97,0.84,0.91,3,3,1,1,110792,NA,35,6.5,3,4.5,13,0.15,0,2,6,18,0.97,0.84,1,3,3
"74","510",3,1,0,0,0,0,0,1,0,0,7,25,4,4.25,26,0.25,0,60,2,6,16,1.05,0.91,1.05,3,3,1,1,111892,2,2.5,17.5,3,NA,13,NA,1,2,7,15,1.05,1.01,NA,5,3
"75","511",3,1,0,0,0,0,0,1,0,0,4,16,3,4.75,9,0.15,0,75,2,6,16.5,1.01,0.91,1.05,4,4,1,1,111192,NA,3,13,3,4.75,NA,NA,0,2,7,15,1.01,1.01,0.89,6,2
"76","514",3,0,0,0,0,0,0,1,0,0,5,20,3,4.5,26,0.25,0,25,2,6,16,0.94,0.9,0.94,5,3,1,1,111192,1,23,16,3,4.25,10,0.2,0,2,6,16,0.95,0.95,1.05,6,4
"77","516",3,1,0,0,0,0,0,1,0,2,6,22.5,3,4.75,13,0.12,0,23,3,6,16,1.05,0.91,1.05,4,3,1,1,111692,NA,2,12,2,4.91,14,0.18,1,2,8,14,1.01,0.95,0.89,5,3
"78","521",1,0,0,0,0,0,1,0,0,0,2.5,20,3,4.25,13,NA,1,50,2,6.5,16.5,NA,NA,0.52,4,4,1,1,110792,NA,0,12,8,4.4,13,0.13,1,2,7,16,0.41,0.84,0.89,4,2
"79","522",1,0,0,0,0,0,1,0,0,2,2,30,4,4.35,26,0.2,0,75,3,7,16,1,0.87,0.94,3,3,1,1,110792,NA,3,23,3,4.25,26,0.15,0,3,7,16,1,0.74,0.95,3,3
"80","113",1,0,1,0,1,0,0,0,0,0,0,22,4,NA,NA,NA,1,NA,2,7,16,1.06,0.95,1,4,NA,1,1,111092,NA,2,40,5,5.05,26,0.28,1,2,7,16,1.05,0.9,0.98,3,2
"81","123",1,0,1,0,1,0,0,0,0,0,0,20,5,NA,13,NA,0,28,2,7,14.5,1.06,0.95,1.01,2,1,1,1,111092,NA,5,25,4,5.05,26,0.15,0,3,7.5,14,1.05,0.94,1,3,2
"82","135",3,0,1,0,1,0,0,0,0,0,10,20,4,NA,26,NA,0,NA,0,9,12.5,NA,NA,NA,5,3,1,1,111692,NA,8,24,3,5.05,NA,0.25,0,2,10,11.5,1.16,1.06,1.05,5,3
"83","138",3,1,1,0,0,1,0,0,0,0,4.5,25.5,2,NA,NA,NA,1,NA,2,10,11.5,1.12,1.07,1.06,6,NA,1,1,111692,NA,2,33,3,5.05,26,0.2,0,2,10,11.5,1.21,1.01,0.94,6,4
"84","153",1,0,1,0,0,1,0,0,0,0,0,25,9,NA,52,0.15,0,33,1,7,17,1,0.95,0.89,4,3,1,1,111092,NA,26.5,10,3,5.05,26,0.15,0,2,7,17,1.05,0.95,0.95,3,2
"85","181",2,0,1,0,0,1,0,0,0,0,0,13,3,NA,NA,NA,0,100,1,10.5,11,0.91,0.79,2.34,3,2,1,1,111192,NA,1,15,2,5.05,NA,0.25,0,1,10.5,11,0.95,0.9,2.49,3,2
"86","191",4,0,1,0,0,1,0,0,0,0,30,20,4,NA,NA,NA,0,NA,2,10.5,12,1.06,0.95,1.06,NA,1,1,1,111792,1,0,25,4,5.05,6,0.25,1,2,10.5,12,1.02,0.94,1.05,2,2
"87","231",1,0,1,0,0,1,0,0,0,1,NA,10,3,NA,26,NA,0,NA,2,7,16,1.02,1.02,0.95,2,2,1,1,111092,NA,16,6,4,5.05,4,0.25,0,1,7,16,0.9,0.95,0.95,3,1
"88","236",1,0,1,0,0,1,0,0,0,3,0,34,4,NA,17,NA,0,95,1,7,17,1.18,1.02,1.06,4,3,1,1,111792,2,23,22,4,5.05,8,0.28,1,1,7,18,1.1,1.01,0.99,4,3
"89","254",4,0,1,1,0,0,0,0,1,0,20,10,3,NA,16,NA,0,NA,1,7,16,1.06,0.86,1.06,2,2,1,1,111492,1,28,10,3,5.25,8,0.2,1,1,7,15,1,0.85,1.05,2,2
"90","255",4,0,1,1,0,0,0,0,0,2,0,14,3,NA,52,0.27,1,10,1,7,14,1.01,0.79,0.85,2,2,1,1,111392,NA,8,12,2,NA,52,0.14,0,1,7,14,1,0.85,2.11,2,2
"91","294",1,0,1,0,0,1,0,0,0,3,0,35,3,NA,26,0.2,0,70,2,7,16,1.06,0.95,0.95,3,3,1,1,110992,NA,0,35,3,5.05,26,0.2,0,2,7,16,1.05,0.94,0.94,3,2
"92","306",3,1,1,0,0,1,0,0,0,0,15,15,3,NA,17,NA,0,NA,2,6,17,1.02,NA,1.06,4,4,1,1,111792,1,6,20,3,5.05,26,0.23,0,2,6,18,1.11,1.05,1.05,NA,2
"93","311",4,0,1,0,0,1,0,0,0,2,0,30,4,NA,26,0.32,1,78,2,10.5,11.5,0.91,0.91,1.06,2,2,1,1,111392,NA,35,30,3,5.05,NA,0.2,0,2,10.5,11.5,1.01,0.95,1.05,2,2
"94","315",1,0,1,1,0,0,0,0,0,0,5,19,2,NA,4,0.25,1,65,3,7,16,1,0.85,0.88,3,2,1,1,110992,NA,4.5,20,2,5.05,8,0.08,0,2,7,16,1.05,0.84,0.87,3,2
"95","335",1,1,1,1,0,0,0,0,0,0,9,10,3,NA,13,0.17,0,100,1,6,17,1.06,0.92,0.92,5,2,1,1,111892,3,7,13,3,5.05,26,0.13,0,1,6,17,1.05,0.94,0.94,5,2
"96","372",1,1,1,0,0,1,0,0,0,2,0,45,5,NA,26,0.15,1,30,3,6.5,19,1.1,0.95,1.1,4,NA,1,1,111792,1,30,20,5,5.05,8,0.08,0,2,6.5,18.5,1.06,1.05,1.04,4,3
"97","6",3,1,1,0,1,0,0,0,0,2,2,2,2,5,13,0.25,0,100,1,11,7,1.2,1.17,2.35,4,2,1,1,111792,1,5,2,2,5.05,13,0.15,0,1,10,8,1.11,1.01,2.23,4,2
"98","14",2,0,1,0,1,0,0,0,0,0,10,8,2,5.12,6,0.25,0,0,3,11,11,1.06,0.85,2.49,6,5,1,1,110592,NA,4,17,3,5.05,13,0.25,1,2,11,11,1.05,0.94,2.6,6,3
"99","26",1,0,1,0,0,1,0,0,0,3,30,15,4,5.56,6,NA,1,NA,2,7,16,1.06,0.91,0.98,4,2,1,1,111792,2,10,20,4,5.05,NA,NA,0,2,7,16,1.01,0.94,0.94,5,4
"100","27",2,1,1,0,1,0,0,0,0,2,4,10,4,5,NA,0.37,0,0,1,11,10,1.06,0.85,2.34,4,3,1,1,111292,NA,0,7,4,5.05,26,0.25,0,1,11,10,1.05,0.84,2.53,4,3
"101","30",2,0,1,0,0,1,0,0,0,4,6,4,2,5,13,0.37,0,0,1,11,10,1.06,1.06,2.53,2,2,1,1,111292,NA,4,3,2,5.05,19,0.25,1,1,11,10,0.94,0.92,2.69,2,2
"102","31",2,0,1,0,1,0,0,0,0,2,4,16,3,5.25,13,0.15,0,0,2,11,11,1.03,1.06,2.56,4,3,1,1,111492,3,6,15,5,5.05,26,0.25,0,1,10.5,12.5,1,1.05,2.64,4,4
"103","33",3,0,1,0,0,1,0,0,0,0,12,20,4,5,26,0.25,0,7,2,6,17,1.02,1.07,0.95,5,4,1,1,111392,NA,6,11,5,5.05,NA,0.2,0,2,6,17,1.11,1.06,1.05,4,2
"104","36",4,0,1,0,1,0,0,0,0,0,8,12,4,5.5,30,0.17,1,0,2,10.5,13,1.02,0.91,2.57,2,2,1,1,111492,NA,10,35,6,5.05,26,0.15,1,2,10.5,12.5,0.95,0.89,1.19,2,2
"105","77",3,0,1,0,0,1,0,0,0,0,6,50,4,5,4,0.15,0,100,2,6,19,1.18,1.07,1.17,6,5,1,1,111992,4,4,60,3,5.05,52,0.15,0,2,6,19,1.06,1.06,1.05,6,2
"106","78",3,1,1,0,0,1,0,0,0,0,13,10,3,5,26,0.15,0,0,2,6,17,1.12,1.02,1.02,4,2,1,1,111392,NA,10,12,2,5.05,26,0.1,0,2,7,16,1.11,1.01,1.05,5,3
"107","81",4,0,1,0,0,1,0,0,0,4,25,13,3,5,26,0.1,0,95,2,10,12,1.06,0.98,1.06,2,2,2,1,121592,3,0,45,4,5.05,NA,NA,1,2,10.5,11.5,1.11,0.98,2.07,2,1
"108","82",4,0,1,0,0,1,0,0,0,6,8,14.5,3,5,13,0.37,1,0,2,10.5,13.5,1.06,1.03,1.06,2,2,1,1,111492,NA,25,8,4,5.05,13,0.18,1,2,10.5,13.5,1.11,0.98,1.05,2,2
"109","83",4,0,1,0,0,1,0,0,0,2,12.5,20,2,5,13,0.25,0,11,2,10.5,13.5,1.06,0.98,2.13,2,2,1,1,111792,2,NA,NA,4,5.05,26,0.5,0,2,10,14,1.11,0.89,0.99,2,2
"110","85",1,0,1,0,1,0,0,0,1,3,7,20,3,5.5,26,0.52,0,1,1,9,12.5,1.12,1.02,1.02,5,4,1,1,111692,NA,0,35,3,5.05,26,0.18,0,1,9,12.5,1.11,1.01,1.05,5,1
"111","89",1,1,1,0,1,0,0,0,0,2,10,6,3,5,13,0.17,0,0,2,7,16,1.09,0.95,1.04,3,2,1,1,111092,NA,6,25,6,5.5,4,0.63,0,2,7,16,1.11,1.01,1.05,3,3
"112","94",2,0,1,0,1,0,0,0,0,2,0,25,5,5,26,0.25,0,0,3,11,10,1.06,0.8,2.56,NA,NA,1,1,111292,NA,2,20,4,5.05,52,0.25,0,1,11,10,1.05,0.79,2.53,3,NA
"113","103",4,0,1,0,0,1,0,0,0,2,12.5,10,3,5,26,0.27,0,50,2,10.5,11.5,0.91,0.85,0.95,2,2,1,1,111492,2,NA,NA,2,5.05,13,NA,0,2,10.5,12.5,1.05,0.84,1.26,2,2
"114","112",4,0,1,0,0,1,0,0,0,0,4,26,3,5,13,0.2,0,80,2,10,14,1.06,0.98,1.06,2,2,2,1,121392,9,5,25,6,5.05,28,0.18,0,2,10.5,12.5,1.11,1.09,2.07,NA,NA
"115","128",2,1,1,0,1,0,0,0,0,3,6.5,7.5,2,5,NA,0.15,0,NA,2,11,11,1.06,0.85,2.34,4,2,1,1,111492,1,3,16,2,5.05,26,0.25,0,1,11,11,1.05,0.79,2.32,3,2
